[Sun 2018-08-12 12:51:00 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Sun 2018-08-12 12:51:10 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:51:15 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 12:51:21 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 12:51:29 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 12:51:36 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 12:51:42 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:51:50 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:51:57 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 12:52:08 AM] [client 47.15.95.133] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:05:24 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:05:29 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:05:33 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 10:05:36 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:05:39 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 7 | Count of Insert: 7 | Status OK
[Sun 2018-08-12 10:05:42 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:05:45 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-08-12 10:05:49 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 10:05:52 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 10:05:56 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:06:00 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:06:04 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:06:08 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 10:06:15 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 10:06:19 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:06:25 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Sun 2018-08-12 10:06:30 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:06:35 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:06:38 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Sun 2018-08-12 10:06:42 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:06:45 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 20 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:06:48 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 21 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:06:51 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 22 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:06:55 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 23 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:06:59 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 24 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:07:11 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 25 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:10:10 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:10:13 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:10:17 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:10:20 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-08-12 10:10:23 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:10:27 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Sun 2018-08-12 10:10:31 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 10:10:36 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Sun 2018-08-12 10:10:39 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:10:43 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:10:47 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 10:10:52 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 10:11:00 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:11:12 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
