[Thu 2018-05-10 11:42:05 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 38 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:06 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 39 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:42:08 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 40 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:42:09 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 41 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:10 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 42 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:11 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 43 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:12 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 44 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:13 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 45 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:14 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 46 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:15 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 47 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:17 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 48 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:18 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 49 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:19 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 50 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:20 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 51 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:21 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 52 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:23 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 53 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:24 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 54 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:25 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 55 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:26 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 56 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
