[Tue 2018-03-27 06:39:35 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 32 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Tue 2018-03-27 06:39:36 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 33 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:39:37 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 34 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:39 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 35 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:40 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 36 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:42 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 37 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Tue 2018-03-27 06:39:43 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 38 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Tue 2018-03-27 06:39:45 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 39 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:46 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 40 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Tue 2018-03-27 06:39:48 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 41 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Tue 2018-03-27 06:39:49 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 42 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Tue 2018-03-27 06:39:50 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 43 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Tue 2018-03-27 06:58:28 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 72 | Count of Insert: 72 | Status OK
[Tue 2018-03-27 06:58:51 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 49 | Count of Insert: 49 | Status OK
[Tue 2018-03-27 06:59:15 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 71 | Count of Insert: 71 | Status OK
[Tue 2018-03-27 06:59:38 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 51 | Count of Insert: 51 | Status OK
[Tue 2018-03-27 06:59:58 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 47 | Count of Insert: 47 | Status OK
[Tue 2018-03-27 07:00:18 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 42 | Count of Insert: 42 | Status OK
[Tue 2018-03-27 07:00:38 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 46 | Count of Insert: 46 | Status OK
[Tue 2018-03-27 07:00:55 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 47 | Count of Insert: 47 | Status OK
[Tue 2018-03-27 07:01:12 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 38 | Count of Insert: 38 | Status OK
[Tue 2018-03-27 07:01:28 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 33 | Count of Insert: 33 | Status OK
[Tue 2018-03-27 07:01:45 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 42 | Count of Insert: 42 | Status OK
[Tue 2018-03-27 07:02:00 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 41 | Count of Insert: 41 | Status OK
[Tue 2018-03-27 07:02:16 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 12 | count of Excel Fields: 32 | Count of Insert: 32 | Status OK
[Tue 2018-03-27 07:02:31 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 13 | count of Excel Fields: 25 | Count of Insert: 25 | Status OK
[Tue 2018-03-27 07:02:47 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 28 | Count of Insert: 28 | Status OK
[Tue 2018-03-27 07:03:04 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 36 | Count of Insert: 36 | Status OK
[Tue 2018-03-27 07:03:19 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Tue 2018-03-27 07:03:34 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 27 | Count of Insert: 27 | Status OK
[Tue 2018-03-27 07:03:50 PM] [client 115.187.48.141] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 25 | Count of Insert: 25 | Status OK
